tweet, sentiment_label
We Hustled an Interview with the executive Mayor of JHB, Mr Herman Mashaba. This is what we do. 
#Entrepreneurship… https://t.co/TPl8uJ4juS, Neutral
Les métiers de l’#agriculture attirent-ils encore les jeunes africains ? La réponse est OUI !… https://t.co/2aOJ00P9wA, Neutral
Entrepreneurship: How Xunlei’s Lei Chen pivoted to blockchain https://t.co/6FiipXeUnX, Neutral
Entrepreneurship: How Xunlei’s Lei Chen pivoted to blockchain https://t.co/6FiipXeUnX, Neutral
JA Bulgaria CEO, Milena Stoycheva, and Rosen Dimitrov from @Novartis BG, were among the panel presenters at the tra… https://t.co/m59J3ivSd5, Neutral
RT @HokkanenPaula: Inspiring insights to @gendersensitive forest and farm entrepreneurship. Thank you!#EDD18 @FFP_AgriCord @FAOForestry #fo…, Positive
“The content of the NorthStar conference will be focused on tech entrepreneurship, working in tech, and navigating… https://t.co/jJ4jDtF3Xk, Neutral
New Entrepreneur Championship Conference 2018(NECC) will held on the 30th June 2018 and they are giving away free p… https://t.co/DNE0MmER0g, Positive
RT @SciForbes: How to apply scientific principles to entrepreneurship: https://t.co/Vq63r90REH https://t.co/8Jw3pW20SK, Neutral
RT @BetoORourke: A story of renewal that we've seen across TX as we've driven to nearly every county. Places like Goldthwaite where we held…, Neutral
